Tool,Program,Optimization,Node_Count,Edge_Count,Cyclomatic_Complexity,SCC_Count,Graph_Density
DeepSeek,2048.c,O0,120,116,36,86,0.008123
DeepSeek,2048.c,O1,124,122,34,124,0.007999
DeepSeek,2048.c,O2,179,174,7,179,0.005461
DeepSeek,2048.c,O3,65,64,13,57,0.015385
DeepSeek,fe,O0,108,57,55,105,0.004933
DeepSeek,fe,O1,25,26,13,6,0.043333
DeepSeek,fe,O2,326,315,79,325,0.002973
DeepSeek,fe,O3,210,179,65,210,0.004078
DeepSeek,kilo,O0,80,40,40,80,0.006329
DeepSeek,kilo,O1,205,216,93,197,0.005165
DeepSeek,kilo,O2,45,24,21,45,0.012121
DeepSeek,kilo,O3,68,60,10,68,0.013169
DeepSeek,lsh,O0,57,47,18,53,0.014724
DeepSeek,lsh,O1,35,41,30,26,0.034454
DeepSeek,lsh,O2,38,46,24,25,0.032717
DeepSeek,lsh,O3,66,75,69,53,0.017483
DeepSeek,md5-c,O0,48,52,30,36,0.02305
DeepSeek,md5-c,O1,52,55,21,16,0.020739
DeepSeek,md5-c,O2,38,47,25,27,0.033428
DeepSeek,md5-c,O3,23,20,11,18,0.039526
Gemini,2048.c,O0,44,44,20,31,0.023256
Gemini,2048.c,O1,27,24,7,27,0.034188
Gemini,2048.c,O2,13,11,2,13,0.070513
Gemini,2048.c,O3,16,11,9,15,0.045833
Gemini,fe,O0,45,36,27,37,0.018182
Gemini,fe,O1,27,14,13,27,0.019943
Gemini,fe,O2,49,32,19,49,0.013605
Gemini,fe,O3,63,62,35,51,0.015873
Gemini,kilo,O0,20,19,5,19,0.05
Gemini,kilo,O1,45,33,16,45,0.016667
Gemini,kilo,O2,29,21,12,29,0.025862
Gemini,kilo,O3,38,32,14,38,0.02276
Gemini,lsh,O0,59,59,34,44,0.017241
Gemini,lsh,O1,47,48,25,36,0.022202
Gemini,lsh,O2,61,55,26,50,0.015027
Gemini,lsh,O3,34,30,20,28,0.026738
Gemini,md5-c,O0,59,51,8,59,0.014904
Gemini,md5-c,O1,69,64,17,58,0.01364
Gemini,md5-c,O2,59,65,24,41,0.018995
Gemini,md5-c,O3,45,32,25,36,0.016162
Ghidra,2048.c,O0,242,275,115,142,0.004715
Ghidra,2048.c,O1,409,551,224,178,0.003302
Ghidra,2048.c,O2,318,438,202,179,0.004345
Ghidra,2048.c,O3,245,329,166,202,0.005504
Ghidra,fe,O0,477,575,240,359,0.002532
Ghidra,fe,O1,534,705,307,405,0.002477
Ghidra,fe,O2,567,763,332,403,0.002378
Ghidra,fe,O3,489,653,296,347,0.002736
Ghidra,kilo,O0,628,782,316,429,0.001986
Ghidra,kilo,O1,629,850,383,415,0.002152
Ghidra,kilo,O2,669,901,394,453,0.002016
Ghidra,kilo,O3,671,911,402,457,0.002026
Ghidra,lsh,O0,98,84,52,82,0.008837
Ghidra,lsh,O1,96,87,57,81,0.009539
Ghidra,lsh,O2,99,93,56,83,0.009586
Ghidra,lsh,O3,99,91,54,83,0.00938
Ghidra,md5-c,O0,79,74,41,56,0.012009
Ghidra,md5-c,O1,115,130,63,66,0.009916
Ghidra,md5-c,O2,108,119,59,61,0.010298
Ghidra,md5-c,O3,61,52,39,51,0.014208
Grok,2048.c,O0,27,25,24,23,0.035613
Grok,2048.c,O1,13,9,10,13,0.057692
Grok,2048.c,O2,23,20,27,19,0.039526
Grok,2048.c,O3,21,14,9,18,0.033333
Grok,fe,O0,38,20,20,37,0.014225
Grok,fe,O1,21,16,7,20,0.038095
Grok,fe,O2,11,10,7,9,0.090909
Grok,fe,O3,10,10,10,6,0.111111
Grok,kilo,O0,12,10,10,8,0.075758
Grok,kilo,O1,8,8,2,3,0.142857
Grok,kilo,O2,16,12,10,16,0.05
Grok,kilo,O3,11,10,9,8,0.090909
Grok,lsh,O0,50,46,28,39,0.018776
Grok,lsh,O1,35,36,29,32,0.030252
Grok,lsh,O2,52,60,36,39,0.022624
Grok,lsh,O3,47,53,32,26,0.024514
Grok,md5-c,O0,40,41,29,27,0.026282
Grok,md5-c,O1,29,26,17,21,0.03202
Grok,md5-c,O2,30,29,25,22,0.033333
Grok,md5-c,O3,26,30,32,21,0.046154
LLVM,2048.c,O0,196,246,78,86,0.006436
LLVM,2048.c,O1,280,435,187,91,0.005568
LLVM,2048.c,O2,225,340,143,103,0.006746
LLVM,2048.c,O3,156,235,99,119,0.009719
LLVM,fe,O0,365,480,175,244,0.003613
LLVM,fe,O1,434,565,209,332,0.003007
LLVM,fe,O2,446,595,227,324,0.002998
LLVM,fe,O3,347,503,224,238,0.00419
LLVM,kilo,O0,500,661,223,304,0.002649
LLVM,kilo,O1,421,624,273,267,0.003529
LLVM,kilo,O2,444,662,288,294,0.003366
LLVM,kilo,O3,449,670,291,299,0.003331
LLVM,lsh,O0,56,59,23,36,0.019156
LLVM,lsh,O1,43,50,27,30,0.027685
LLVM,lsh,O2,43,52,27,30,0.028793
LLVM,lsh,O3,43,52,27,30,0.028793
LLVM,md5-c,O0,44,50,18,20,0.026427
LLVM,md5-c,O1,60,84,38,27,0.023729
LLVM,md5-c,O2,52,73,33,21,0.027526
LLVM,md5-c,O3,18,22,12,11,0.071895
Rizin,2048.c,O0,234,266,104,140,0.004879
